Action;Surname;GivenName;SamAccountName;DisplayName;UserPrincipalName;OfficePhone;Description;EmailAddress;Password
Update;Chase;Gabriel;gchase;Gabriel Chase;gchase@batac.lan;100;TSSR;gabriel.chase@batac.lan;T$$r2019ninja
Update;Henson;Jordan;jhenson;Jordan Henson;jhenson@batac.lan;101;TSSR;jordan.henson@batac.lan;T$$r2019ninja
Update;Sharp;Leon;lsharp;Leon Sharp;lsharp@batac.lan;102;TSSR;leon.sharp@batac.lan;T$$r2019ninja
Update;Foley;Victor;vfoley;Victor Foley;vfoley@batac.lan;103;TSSR;victor.foley@batac.lan;T$$r2019ninja
Update;Reeves;Melissa;mreeves;Melissa Reeves;mreeves@batac.lan;104;TSSR;melissa.reeves@batac.lan;T$$r2019ninja
Update;Goodwin;Carla;cgoodwin;Carla Goodwin;cgoodwin@batac.lan;105;TSSR;carla.goodwin@batac.lan;T$$r2019ninja
Update;Mccormick;Mathis;mmccormick;Mathis Mccormick;mmccormick@batac.lan;106;TSSR;mathis.mccormick@batac.lan;T$$r2019ninja
Update;Cross;Manon;mcross;Manon Cross;mcross@batac.lan;107;TSSR;manon.cross@batac.lan;T$$r2019ninja
Update;Young;Zacharis;zyoung;Zacharis Young;zyoung@batac.lan;108;TSSR;zacharis.young@batac.lan;T$$r2019ninja
Update;Witt;Tristan;twitt;Tristan Witt;twitt@batac.lan;109;TSSR;tristan.witt@batac.lan;T$$r2019ninja
Update;Hancock;Arthur;ahancock;Arthur Hancock;ahancock@batac.lan;110;TSSR;arthur.hancock@batac.lan;T$$r2019ninja
Update;Fowler;Robin;rfowler;Robin Fowler;rfowler@batac.lan;111;TSSR;robin.fowler@batac.lan;T$$r2019ninja
Update;Schultz;Clotilde;cschultz;Clotilde Schultz;cschultz@batac.lan;112;TSSR;clotilde.schultz@batac.lan;T$$r2019ninja
Update;Jimenez;Noah;njimenez;Noah Jimenez;njimenez@batac.lan;113;TSSR;noah.jimenez@batac.lan;T$$r2019ninja
Update;Shaw;Robin;rshaw;Robin Shaw;rshaw@batac.lan;114;TSSR;robin.shaw@batac.lan;T$$r2019ninja
Update;Velazquez;Paul;pvelazquez;Paul Velazquez;pvelazquez@batac.lan;115;TSSR;paul.velazquez@batac.lan;T$$r2019ninja
Update;Stuart;Candice;cstuart;Candice Stuart;cstuart@batac.lan;116;TSSR;candice.stuart@batac.lan;T$$r2019ninja
Update;Shields;Clemence;cshields;Clemence Shields;cshields@batac.lan;117;TSSR;clemence.shields@batac.lan;T$$r2019ninja
Update;Lyons;Maelle;mlyons;Maelle Lyons;mlyons@batac.lan;118;TSSR;maelle.lyons@batac.lan;T$$r2019ninja
Update;Russo;Evan;erusso;Evan Russo;erusso@batac.lan;119;TSSR;evan.russo@batac.lan;T$$r2019ninja
Update;Gillespie;Margaux;mgillespie;Margaux Gillespie;mgillespie@batac.lan;120;TSSR;margaux.gillespie@batac.lan;T$$r2019ninja
